sample_id,seed,f1_norm,f2_norm,f3_norm,f4_norm,f1_vol,f2_vol,f3_vol,f4_vol,f_Al_vol,kappa,E,rho,delta_alpha,delta_T
18,42,0.114551742984,0.565731667273,0.115211549871,0.204505039873,0.022910348597,0.113146333455,0.023042309974,0.040901007975,0.800000000000,132.572496153565,78.335838281107,2.711120143666,0.698063419377,70.359230579625
19,42,0.323213077073,0.111552173596,0.546276293671,0.018958455660,0.064642615415,0.022310434719,0.109255258734,0.003791691132,0.800000000000,138.927419870803,81.295174284994,2.807003360810,0.120934293399,42.415304718353
20,42,0.117618518962,0.374699806434,0.106410822798,0.401270851807,0.023523703792,0.074939961287,0.021282164560,0.080254170361,0.800000000000,138.404126594172,78.009099056112,2.802231449124,0.918415566365,69.948527940597
21,42,0.221373521369,0.223131769956,0.016115678555,0.539379030120,0.044274704274,0.044626353991,0.003223135711,0.107875806024,0.800000000000,140.385530550940,78.125011631718,2.838630617162,0.814789454191,56.053658018204
22,42,0.251113041860,0.511394291971,0.111867725321,0.125624940848,0.050222608372,0.102278858394,0.022373545064,0.025124988170,0.800000000000,130.291239191585,79.280941043724,2.680113844247,0.234869385082,52.070941434104
23,42,0.162114544156,0.326485351242,0.078757048291,0.432643056311,0.032422908831,0.065297070248,0.015751409658,0.086528611262,0.800000000000,138.686465097441,78.139308613976,2.808898358995,0.839834402592,63.989620246646
24,42,0.128391464500,0.346890913599,0.450196406505,0.074521215396,0.025678292900,0.069378182720,0.090039281301,0.014904243079,0.800000000000,137.716694871373,79.710572013574,2.783552233862,0.452110300861,68.505815074192
25,42,0.755265196636,0.035637093993,0.035449413005,0.173648296366,0.151053039327,0.007127418799,0.007089882601,0.034729659273,0.800000000000,130.429122227862,82.015748353974,2.702846859256,0.986014671424,31.997566321494
26,42,0.025571797468,0.272694659641,0.373420502529,0.328313040362,0.005114359494,0.054538931928,0.074684100506,0.065662608072,0.800000000000,143.418615734552,78.428561563724,2.868492768233,1.024664476962,82.275424883067
27,42,0.411691281543,0.224697337032,0.250223156310,0.113388225116,0.082338256309,0.044939467406,0.050044631262,0.022677645023,0.800000000000,133.872839703745,80.722006395086,2.739217087472,0.210469743566,30.566303575793
28,42,0.648967179672,0.051682927891,0.292159053452,0.007190838985,0.129793435934,0.010336585578,0.058431810690,0.001438167797,0.800000000000,132.112142460861,82.471941363946,2.719253254874,0.930481060655,2.470103169324
29,42,0.331022221704,0.070857349889,0.430973143927,0.167147284480,0.066204444341,0.014171469978,0.086194628785,0.033429456896,0.800000000000,140.388505167934,80.729001851068,2.832481287424,0.043574043692,41.369504069438
30,42,0.576211649721,0.159030509260,0.117616924859,0.147140916160,0.115242329944,0.031806101852,0.023523384972,0.029428183232,0.800000000000,131.566589758543,81.237524912986,2.712247108684,0.577734846994,8.533735869377
31,42,0.096930814229,0.240641268044,0.093479100133,0.568948817594,0.019386162846,0.048128253609,0.018695820027,0.113789763519,0.800000000000,143.302551648213,77.572338458321,2.876302921352,1.163419467483,72.719025358476
32,42,0.210381260104,0.599284301034,0.136163251630,0.054171187232,0.042076252021,0.119856860207,0.027232650326,0.010834237446,0.800000000000,128.731596885654,79.227591265463,2.653090346130,0.253757017724,57.525741646898
33,42,0.072378922421,0.199407489138,0.109269032245,0.618944556196,0.014475784484,0.039881497828,0.021853806449,0.123788911239,0.800000000000,145.313115879544,77.394002502285,2.905143735217,1.279586764205,76.007014709444
34,42,0.279140032614,0.537371931599,0.043305738692,0.140182297095,0.055828006523,0.107474386320,0.008661147738,0.028036459419,0.800000000000,128.945654799697,79.206351859148,2.661358200039,0.185968129527,48.317566832369
35,42,0.785439255555,0.163254883333,0.000717531587,0.050588329525,0.157087851111,0.032650976667,0.000143506317,0.010117665905,0.800000000000,125.879043546986,82.286926596210,2.631695766140,1.222577284240,40.379316408088
36,42,0.383291976059,0.074944360019,0.135349605970,0.406414057952,0.076658395212,0.014988872004,0.027069921194,0.081282811590,0.800000000000,139.765838071882,79.704603562184,2.832216108769,0.221654869686,34.369538566155
37,42,0.002155378351,0.536096315972,0.388266379236,0.073481926441,0.000431075670,0.107219263194,0.077653275847,0.014696385288,0.800000000000,135.797919954084,78.745595073280,2.750707199087,0.798070438913,85.411351731177
38,42,0.033913813815,0.052856211069,0.696591503600,0.216638471516,0.006782762763,0.010571242214,0.139318300720,0.043327694303,0.800000000000,149.057277018139,79.702416506543,2.944657896597,0.813341678302,81.158262053855
39,42,0.031290635031,0.282472465322,0.389529074153,0.296707825495,0.006258127006,0.056494493064,0.077905814831,0.059341565099,0.800000000000,142.874452636698,78.566177257565,2.860108824000,0.971063292033,81.509558156670
40,42,0.415822405541,0.081327211539,0.057165272907,0.445685110012,0.083164481108,0.016265442308,0.011433054581,0.089137022002,0.800000000000,138.877181041295,79.586366933519,2.821744306301,0.193471167986,30.013063449945
41,42,0.782821212640,0.067960863376,0.148657454656,0.000560469328,0.156564242528,0.013592172675,0.029731490931,0.000112093866,0.800000000000,128.279360170141,82.831626958786,2.666701279898,1.270083892071,39.652076447231
42,42,0.009243647369,0.058403872771,0.362677069722,0.569675410138,0.001848729474,0.011680774554,0.072535413944,0.113935082028,0.800000000000,150.906988410258,77.906050731970,2.979069643597,1.328840231064,84.462090744340
43,42,0.416327710709,0.103557800196,0.419224915336,0.060889573759,0.083265542142,0.020711560039,0.083844983067,0.012177914752,0.800000000000,136.870342229301,81.381821462087,2.781896624181,0.294767496342,29.945392981881
44,42,0.238685952616,0.328309777040,0.157099894175,0.275904376169,0.047737190523,0.065661955408,0.031419978835,0.055180875234,0.800000000000,136.082808631909,79.108674914766,2.769595215388,0.441290419802,53.735177225686
45,42,0.919702874821,0.006715955739,0.064265712555,0.009315456884,0.183940574964,0.001343191148,0.012853142511,0.001863091377,0.800000000000,126.512460121718,83.376069070596,2.645359876816,1.592834713614,77.675064567852
46,42,0.156875859084,0.216552264598,0.494115305951,0.132456570366,0.031375171817,0.043310452920,0.098823061190,0.026491314073,0.800000000000,140.792924729539,79.931615679478,2.830637827701,0.438449861796,64.691184951437
47,42,0.153197181791,0.284987391217,0.456782037738,0.105033389254,0.030639436358,0.056997478243,0.091356407548,0.021006677851,0.800000000000,138.888002076146,79.833101894546,2.802320672845,0.421835697894,65.183833414542
48,42,0.263892835723,0.113260921223,0.068243960564,0.554602282490,0.052778567145,0.022652184245,0.013648792113,0.110920456498,0.800000000000,142.390125318860,78.525856650044,2.869340249964,0.709706936876,50.359471439910
49,42,0.446776359115,0.107035977709,0.008392692710,0.437794970466,0.089355271823,0.021407195542,0.001678538542,0.087558994093,0.800000000000,137.331626905729,79.629538936054,2.800305244454,0.110258755413,25.867709987295
50,42,0.203597312327,0.430640646558,0.282387812861,0.083374228254,0.040719462465,0.086128129312,0.056477562572,0.016674845651,0.800000000000,133.520091220160,79.611095674697,2.725190593446,0.288412109792,58.434247933107
51,42,0.657037794149,0.050798893663,0.200322358407,0.091840953781,0.131407558830,0.010159778733,0.040064471681,0.018368190756,0.800000000000,132.227002127967,82.085696215259,2.723634868827,0.845667554675,4.711958458620
52,42,0.228880776980,0.633567688214,0.003545689088,0.134005845718,0.045776155396,0.126713537643,0.000709137818,0.026801169144,0.800000000000,127.637691223966,78.783233258860,2.639473928199,0.319326872614,55.048286346788
53,42,0.418017219372,0.448319578874,0.123993502146,0.009669699608,0.083603443874,0.089663915775,0.024798700429,0.001933939922,0.800000000000,127.378666038239,80.520818136095,2.639319889833,0.349730378722,29.719133981656
54,42,0.252085453396,0.545590289206,0.165404980114,0.036919277284,0.050417090679,0.109118057841,0.033080996023,0.007383855457,0.800000000000,129.049830182155,79.603013433681,2.659008372346,0.117326720747,51.940716081178
55,42,0.568436495193,0.066911989479,0.322822657158,0.041828858169,0.113687299039,0.013382397896,0.064564531432,0.008365771634,0.800000000000,133.878672235687,82.025255347125,2.743313104496,0.690604947190,9.574984563700
56,42,0.313254776021,0.353678634615,0.015133277675,0.317933311689,0.062650955204,0.070735726923,0.003026655535,0.063586662338,0.800000000000,133.622392539622,79.035477756780,2.737456587242,0.314164114863,43.748920395278
57,42,0.689026490340,0.162501767100,0.074236177430,0.074235565129,0.137805298068,0.032500353420,0.014847235486,0.014847113026,0.800000000000,128.378914403094,81.900723355054,2.666669131654,0.950935653742,13.597778486700
58,42,0.603025832729,0.179360663418,0.142100799094,0.075512704758,0.120605166546,0.035872132684,0.028420159819,0.015102540952,0.800000000000,130.095537131709,81.595848390546,2.689267967885,0.735037825637,4.942780480875
59,42,0.520568799541,0.212625490865,0.158710083192,0.108095626403,0.104113759908,0.042525098173,0.031742016638,0.021619125281,0.800000000000,131.404375684515,81.095924589734,2.706604061922,0.488134725826,15.985426365469
60,42,0.081548098771,0.568793476784,0.199572830026,0.150085594420,0.016309619754,0.113758695357,0.039914566005,0.030017118884,0.800000000000,133.140843709986,78.495274023677,2.716763103258,0.708228766902,74.779078612654
61,42,0.339966817251,0.261567204184,0.119862917542,0.278603061023,0.067993363450,0.052313440837,0.023972583508,0.055720612205,0.800000000000,135.299062176186,79.598524138980,2.762072645343,0.184283277261,40.171643833696
62,42,0.241803354248,0.018850312802,0.399678384360,0.339667948591,0.048360670850,0.003770062560,0.079935676872,0.067933589718,0.800000000000,144.856977652554,79.806876521399,2.897420170322,0.470238795713,53.317694799166
63,42,0.319374537348,0.122961588424,0.261215196390,0.296448677837,0.063874907470,0.024592317685,0.052243039278,0.059289735567,0.800000000000,139.713653704738,79.900680722412,2.825943916159,0.241862105125,42.929361958289
64,42,0.250884143308,0.345687111680,0.189856923216,0.213571821796,0.050176828662,0.069137422336,0.037971384643,0.042714364359,0.800000000000,135.072111628979,79.388982798147,2.753510292347,0.331050132641,52.101595528200
65,42,0.130472927206,0.191392610152,0.254722506139,0.423411956503,0.026094585441,0.038278522030,0.050944501228,0.084682391301,0.800000000000,143.262407999406,78.529042379946,2.872955117209,0.877353296639,68.227065588553
66,42,0.069973811126,0.294247660655,0.335762315089,0.300016213130,0.013994762225,0.058849532131,0.067152463018,0.060003242626,0.800000000000,141.528518970895,78.622232253527,2.842511137005,0.883477659323,76.329107213965
67,42,0.124625315664,0.538762160601,0.099953164903,0.236659358832,0.024925063133,0.107752432120,0.019990632981,0.047331871766,0.800000000000,133.155919727037,78.295949724192,2.721055277140,0.711206517264,69.010177726228
68,42,0.326182904857,0.142795936528,0.302791585806,0.228229572809,0.065236580971,0.028559187306,0.060558317161,0.045645914562,0.800000000000,138.738955459017,80.186589602810,2.810237803562,0.140055276633,42.017585381497
69,42,0.097194454267,0.615514915951,0.061803029321,0.225487600460,0.019438890853,0.123102983190,0.012360605864,0.045097520092,0.800000000000,131.748622827207,78.024630748717,2.698786927205,0.781029600368,72.683718684507
70,42,0.210182684883,0.214241172522,0.093692264386,0.481883878209,0.042036536977,0.042848234504,0.018738452877,0.096376775642,0.800000000000,140.719859874996,78.399443432120,2.841392128388,0.764380585115,57.552334840517
